Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
3 Mile Pond WMA (3 Mile Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.145101,-73.31091,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,8/3/2016,-,-,-0.265819689,16216,
Alleghany Bova beaver pond,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.10434,-78.71836,18,-0.28,Interior,7,Loblolly/Shortleaf Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,7/7/2016,-,-,-0.335299018,16189,
Alleghany Rt. 2 beaver pond,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.07835,-78.71187,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,7/7/2016,-,-,-0.335299018,16189,
Alleghany Science Lake,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.01152,-78.76595,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,7/7/2016,-,-,-0.335299018,16189,
Ashby WMA (ASH 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.69,-71.87,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/8/2016,-,-,-0.409924963,16160,
Assabet River-tio-l Wildlife Refuge (VP 55),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.41,-71.49,27,0.64,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,5/24/2016,6/20/2016,4/28/2017,-0.448524591,16145,
Bigelow Pond,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.99471,-72.12681,13,-0.79,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,5/19/2017,-,-,2.109344028,17139,
Birch Hill WMA (BHW),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.67,-72.11,14,-0.69,Perforated,6,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/16/2016,-,-,-0.389338496,16168,
Black Rock SF (Camp Roberts Pond),-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.64939,-73.0973,29,0.85,Perforated,6,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,4/27/2016,-,-,-0.518003919,16118,388.604791
Bolton WMA (BOL 1),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.45,-71.66,35,1.46,Edge,5,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/8/2016,-,-,-0.409924963,16160,
Bolton WMA (BOL 2),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.46,-71.65,22,0.13,Edge,5,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/8/2016,-,-,-0.409924963,16160,
Bolton WMA (BOL 3),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.48,-71.63,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/8/2016,-,-,-0.409924963,16160,
Breakneck WMA (BNEK),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.05,-72.11,28,0.74,Edge,5,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,6/17/2016,-,-,-0.386765187,16169,
Buck Road (Elmer NJ),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.58237166,-75.14254449,22,0.13,Unlabeled,1,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,5/4/2016,-,-,-0.49999076,16125,
Burr Pond,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.87422,-73.09432,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,5/31/2016,-,-,-0.430511431,16152,
Carpenter Marsh WMA (CM),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43,-72,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/9/2016,-,-,-0.407351655,16161,
CATO (91I-2),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,39.6903132,-77.4846244,14,-0.69,Undetermined,4,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,4/28/2016,-,-,-0.515430611,16119,
CATO (Goose Pool),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.62407378,-77.42219363,18,-0.28,Perforated,6,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,4/28/2016,-,-,-0.515430611,16119,
Chapman reservoir,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.747276,-79.178788,18,-0.28,Perforated,6,Elm/Ash/Cottonwood Group,4,0,Lake,5,2,7,Other Pond,3,5/6/2016,-,-,-0.494844143,16127,
Cherry Valley NWR (Pool 1-Golf Course Pond),-,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.97,-75.17166,43,2.28,Perforated,6,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/4/2017,-,-,2.070744401,17124,
Cherry Valley NWR (Pool 2-Farm Pond 1),-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.85,-75.35193,14,-0.69,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,5/4/2017,-,-,2.070744401,17124,
Cherry Valley NWR (Pool 3-Farm Pond 2),-,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.86,-75.34271,14,-0.69,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,5/4/2017,-,-,2.070744401,17124,
CHOH (DC045),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,38.91391997,-77.10032,52,3.20,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/27/2016,-,-,-0.518003919,16118,
